,plot_id,yield,blue-blue-444,blue-green,blue-green-531,blue-nir,blue-red,blue-red-650,blue-red-edge,blue-red-edge-705,blue-red-edge-740,blue-444-green,blue-444-green-531,blue-444-nir,blue-444-red,blue-444-red-650,blue-444-red-edge,blue-444-red-edge-705,blue-444-red-edge-740,green-green-531,green-nir,green-red,green-red-650,green-red-edge,green-red-edge-705,green-red-edge-740,green-531-nir,green-531-red,green-531-red-650,green-531-red-edge,green-531-red-edge-705,green-531-red-edge-740,nir-red,nir-red-650,nir-red-edge,nir-red-edge-705,nir-red-edge-740,red-red-650,red-red-edge,red-red-edge-705,red-red-edge-740,red-650-red-edge,red-650-red-edge-705,red-650-red-edge-740,red-edge-red-edge-705,red-edge-red-edge-740,red-edge-705-red-edge-740
0,12,641.2188273,0.84272045,-0.4870176,0.63606966,-0.9206484,-0.25247234,0.7594415,-0.8199284,0.41231558,-0.23262598,-0.94249064,-0.43904054,-0.9929711,-0.90182084,-0.22675139,-0.983227,-0.6547363,-0.88910824,0.8603775,-0.80284566,0.26419234,0.9068577,-0.5667567,0.75292873,0.27980265,-0.9833858,-0.7597765,0.23354201,-0.9590675,-0.3043043,-0.75327903,0.85852915,0.9875797,0.4461065,0.9691346,0.8903792,0.8506406,-0.70375705,0.5948812,0.00044898532,-0.97160757,-0.49735638,-0.8203205,0.9246554,0.7332981,-0.5863855
1,11,697.97988,0.8422703,-0.4876134,0.64086634,-0.93374175,-0.21445832,0.7723762,-0.8316104,0.41228545,-0.27719715,-0.9425582,-0.43418545,-0.9941419,-0.8945224,-0.1976996,-0.98436284,-0.655131,-0.9032294,0.8612656,-0.82638156,0.30395097,0.91462684,-0.58440256,0.75155413,0.23686655,-0.9857561,-0.75040233,0.2583424,-0.9615125,-0.31040224,-0.7779902,0.8952262,0.990881,0.4772042,0.97326314,0.8935917,0.8473962,-0.7473647,0.5735938,-0.07523722,-0.9762518,-0.5246188,-0.85625464,0.92829376,0.7228313,-0.61925095
2,9,709.8914786,0.84360236,-0.46444836,0.6544412,-0.9257549,-0.23064274,0.77011544,-0.81814003,0.43553725,-0.23326303,-0.93961835,-0.4183445,-0.9934738,-0.8984731,-0.20606108,-0.9831483,-0.6415117,-0.89397585,0.8594955,-0.8181186,0.26006016,0.9079269,-0.5769168,0.7506782,0.25304827,-0.98479676,-0.7662871,0.23119876,-0.9601579,-0.30624822,-0.76735485,0.87735933,0.9894104,0.46657768,0.97164035,0.89221215,0.85092366,-0.7179311,0.6020451,-0.014511349,-0.97355705,-0.49952203,-0.83806026,0.9263257,0.7257839,-0.6057124
3,8,674.1916718,0.84232616,-0.47555482,0.64586586,-0.9227764,-0.25094548,0.7624981,-0.8189506,0.42636636,-0.23262285,-0.9406507,-0.4259839,-0.99315315,-0.9013343,-0.21859848,-0.98310393,-0.6453106,-0.89044285,0.8599069,-0.81005,0.2519035,0.90585595,-0.5711203,0.75259733,0.2662664,-0.984035,-0.7670589,0.2265694,-0.95961136,-0.30342904,-0.7597117,0.86295795,0.9881298,0.45615894,0.9703141,0.8912642,0.8521863,-0.70419866,0.60593927,0.0013821688,-0.9720808,-0.4922937,-0.8252206,0.9255928,0.72910655,-0.5961997
4,7,680.4306641,0.8415138,-0.4742887,0.64847666,-0.9340008,-0.2117216,0.7743728,-0.8262199,0.43022943,-0.2637176,-0.94028664,-0.42254904,-0.9941427,-0.89351964,-0.19054618,-0.98374635,-0.6414243,-0.90150183,0.85966796,-0.829724,0.29121083,0.9127611,-0.5820919,0.752682,0.23566341,-0.9859268,-0.7553104,0.25192606,-0.9608214,-0.30158517,-0.77733314,0.8977428,0.9911086,0.48569313,0.97401965,0.8944695,0.84788394,-0.7424366,0.587388,-0.060857162,-0.9758204,-0.51333165,-0.856248,0.9282532,0.72009814,-0.6235813
5,6,965.1194023,0.8409939,-0.5016731,0.6267119,-0.934794,-0.2236862,0.7662795,-0.8331911,0.4102077,-0.2872676,-0.94405365,-0.44983128,-0.99419606,-0.89535564,-0.20747934,-0.98439074,-0.65499955,-0.90436697,0.85981894,-0.82257664,0.31123137,0.91447467,-0.57476443,0.7581439,0.24585904,-0.9853,-0.74305516,0.26615217,-0.9600097,-0.2917337,-0.7729837,0.8936904,0.9906282,0.47670737,0.97332704,0.89202386,0.8459569,-0.743445,0.5774631,-0.07652598,-0.9755058,-0.51587677,-0.8535847,0.9282452,0.72000116,-0.6230242
6,4,908.7694714,0.8410282,-0.49401513,0.6339687,-0.94021577,-0.20142011,0.7741303,-0.8343172,0.42118186,-0.2976121,-0.94313705,-0.441875,-0.99470776,-0.89129597,-0.1909352,-0.9845509,-0.6479455,-0.90977186,0.8597643,-0.83464485,0.32503957,0.91737705,-0.58050054,0.75876063,0.2269799,-0.9864825,-0.7407377,0.27407795,-0.96076375,-0.28981313,-0.7837967,0.91125685,0.992206,0.49671966,0.9756736,0.89446855,0.84428024,-0.76056117,0.5739935,-0.10444068,-0.97731906,-0.52185583,-0.8698186,0.92997575,0.7139601,-0.64036924
7,3,796.7081605,0.84095615,-0.5041002,0.6230314,-0.93555915,-0.21855529,0.76522017,-0.8350174,0.40898898,-0.29216212,-0.9445175,-0.45512512,-0.9942869,-0.89425987,-0.21011756,-0.98461366,-0.6562811,-0.9063665,0.85901636,-0.8225027,0.3191233,0.91486675,-0.57537895,0.7587448,0.2445153,-0.9852277,-0.73805463,0.2697557,-0.9599253,-0.28742698,-0.77315307,0.8961631,0.9907515,0.47480562,0.97341543,0.8913957,0.84355295,-0.7488517,0.5733808,-0.08574207,-0.97579217,-0.5155202,-0.8559574,0.9287454,0.7197385,-0.62581074
8,2,911.7741595,0.84010446,-0.49344382,0.6322288,-0.9385717,-0.20141819,0.7726657,-0.8350046,0.41774842,-0.29327843,-0.94270885,-0.44189814,-0.9945231,-0.89054894,-0.19070148,-0.9844949,-0.6482462,-0.908187,0.85881805,-0.8309404,0.32419384,0.9167174,-0.58271664,0.7568845,0.230826,-0.98603165,-0.739338,0.2743424,-0.96072793,-0.29077742,-0.7805967,0.90851074,0.99190015,0.48481107,0.97475433,0.8929633,0.843483,-0.7612483,0.57096803,-0.10002971,-0.97724074,-0.5225583,-0.8673681,0.9297551,0.7174273,-0.6345344
9,1,670.6840155,0.8406928,-0.47913802,0.64214486,-0.9246236,-0.24198976,0.75981784,-0.81984633,0.42624208,-0.22942144,-0.940623,-0.4268297,-0.9932537,-0.8984058,-0.21835692,-0.9830067,-0.6425937,-0.89008856,0.8593287,-0.80994743,0.26467225,0.90616083,-0.56824297,0.7543507,0.27445838,-0.984021,-0.76092935,0.2276123,-0.95905805,-0.29803187,-0.75631297,0.86883897,0.9884054,0.45761287,0.97048223,0.8922573,0.8479939,-0.7100907,0.6006273,-0.0014241904,-0.97202355,-0.4892753,-0.8249188,0.9254063,0.73062867,-0.59359777
