,plot_id,yield,blue-blue-444,blue-green,blue-green-531,blue-nir,blue-red,blue-red-650,blue-red-edge,blue-red-edge-705,blue-red-edge-740,blue-444-green,blue-444-green-531,blue-444-nir,blue-444-red,blue-444-red-650,blue-444-red-edge,blue-444-red-edge-705,blue-444-red-edge-740,green-green-531,green-nir,green-red,green-red-650,green-red-edge,green-red-edge-705,green-red-edge-740,green-531-nir,green-531-red,green-531-red-650,green-531-red-edge,green-531-red-edge-705,green-531-red-edge-740,nir-red,nir-red-650,nir-red-edge,nir-red-edge-705,nir-red-edge-740,red-red-650,red-red-edge,red-red-edge-705,red-red-edge-740,red-650-red-edge,red-650-red-edge-705,red-650-red-edge-740,red-edge-red-edge-705,red-edge-red-edge-740,red-edge-705-red-edge-740
0,12,641.2188273,0.013329281,-0.41927278,-0.445662,-0.88696605,-0.29466957,-0.32578495,-0.7781717,-0.67450005,-0.8706552,-0.43125334,-0.45731458,-0.89165616,-0.30553725,-0.3367697,-0.785272,-0.68278414,-0.8758874,-0.031597197,-0.7682104,0.14198701,0.11132887,-0.54890126,-0.357113,-0.73633236,-0.7538982,0.17176189,0.14162104,-0.5257694,-0.3292669,-0.720416,0.7854679,0.7805118,0.394141,0.56930566,0.076197706,-0.032907218,-0.61348504,-0.4643164,-0.7581238,-0.5998924,-0.4426066,-0.7522324,0.23947884,-0.32875526,-0.51780367
1,11,697.97988,-0.001041945,-0.45944703,-0.47695497,-0.9333953,-0.22189344,-0.26750037,-0.82501316,-0.6969293,-0.919954,-0.4586956,-0.4762692,-0.93344736,-0.22063062,-0.2663271,-0.82488614,-0.6963491,-0.91999644,-0.02228336,-0.83205956,0.2633723,0.2185229,-0.5907495,-0.3497102,-0.8002199,-0.8250314,0.28395602,0.23961672,-0.57590014,-0.32997668,-0.7919687,0.8955842,0.88642955,0.4776616,0.6810283,0.09685854,-0.04819148,-0.7356733,-0.5601389,-0.87491214,-0.7139585,-0.5269234,-0.8640731,0.30384877,-0.3998863,-0.626195
2,9,709.8914786,0.008539956,-0.43321592,-0.45542282,-0.91745526,-0.26046482,-0.29259378,-0.80654985,-0.6861851,-0.9029867,-0.4404604,-0.4626736,-0.9196337,-0.26772714,-0.2998471,-0.8103634,-0.6910921,-0.90546876,-0.027350437,-0.81291723,0.19235541,0.16054362,-0.5808045,-0.3603857,-0.78197455,-0.8029999,0.21818635,0.18681797,-0.562092,-0.33648628,-0.77064085,0.8539599,0.84811,0.44790235,0.64122295,0.08700151,-0.033873208,-0.68179876,-0.511749,-0.8299303,-0.66704136,-0.48873344,-0.8230387,0.27910748,-0.3762732,-0.5883374
3,8,674.1916718,0.013697014,-0.40259266,-0.4271727,-0.8800211,-0.30366647,-0.3336306,-0.769653,-0.666602,-0.86204916,-0.41508126,-0.4394482,-0.88530695,-0.31462276,-0.34464908,-0.77727425,-0.6753251,-0.86796933,-0.029044626,-0.7643307,0.11243509,0.08228402,-0.5482062,-0.3617572,-0.7304898,-0.75087947,0.14000253,0.11024663,-0.5268421,-0.3363628,-0.71556795,0.76914835,0.7629341,0.3899084,0.55942297,0.08012149,-0.032078393,-0.5935964,-0.4449289,-0.73879015,-0.5790337,-0.42286843,-0.731563,0.23346314,-0.3210306,-0.5048988
4,7,680.4306641,0.0031954064,-0.45738775,-0.4750366,-0.93412614,-0.22399992,-0.26815727,-0.82265097,-0.69225013,-0.9201191,-0.4598934,-0.4775985,-0.93469363,-0.22660041,-0.270776,-0.8239245,-0.69388694,-0.92081296,-0.02238251,-0.8347193,0.25900477,0.215245,-0.587492,-0.34379196,-0.8016558,-0.8277611,0.27979746,0.23658173,-0.5727025,-0.32399786,-0.7934585,0.8956918,0.88689,0.48812306,0.689041,0.10136649,-0.0468779,-0.731013,-0.55224764,-0.87407565,-0.7096133,-0.5197112,-0.8635651,0.30564803,-0.40755576,-0.6326169
5,6,965.1194023,0.0146889975,-0.41749752,-0.44214544,-0.89430475,-0.2988095,-0.33011225,-0.77968407,-0.67061234,-0.8763827,-0.4305586,-0.4549259,-0.89935035,-0.31075257,-0.34205037,-0.7875501,-0.67974144,-0.8820937,-0.029458687,-0.7836323,0.1347609,0.10373766,-0.5528349,-0.35300484,-0.7481854,-0.771086,0.1627079,0.13213907,-0.53154457,-0.32686263,-0.7339993,0.7962858,0.79196495,0.4240343,0.59838974,0.08972657,-0.033183612,-0.6127595,-0.4549588,-0.7657862,-0.599188,-0.43312556,-0.7603755,0.24950817,-0.348869,-0.5407321
6,4,908.7694714,0.0019429454,-0.463481,-0.479032,-0.933372,-0.22558081,-0.2763739,-0.82422405,-0.6955104,-0.91951394,-0.4651964,-0.48067942,-0.9339114,-0.22711301,-0.27787164,-0.82511395,-0.6966571,-0.9201676,-0.019740025,-0.83142287,0.26426113,0.2141961,-0.5864538,-0.34268868,-0.7984537,-0.8251638,0.2825451,0.23292796,-0.5732815,-0.32522252,-0.7910764,0.8937834,0.8835911,0.4817311,0.684228,0.09977204,-0.05392315,-0.73178816,-0.554945,-0.8723358,-0.7072931,-0.51762134,-0.86020374,0.30524465,-0.40183586,-0.628119
7,3,796.7081605,0.012750214,-0.41132787,-0.43543765,-0.888545,-0.2951078,-0.32785258,-0.772064,-0.662673,-0.87017167,-0.42283225,-0.44668287,-0.89318657,-0.30548385,-0.33831495,-0.779148,-0.67090493,-0.87538594,-0.028612267,-0.7757475,0.13181792,0.09903494,-0.54447794,-0.34674025,-0.7395498,-0.7629483,0.15905434,0.12663606,-0.52338064,-0.32141012,-0.72516453,0.78889745,0.78281254,0.41776472,0.5901422,0.08980545,-0.035016675,-0.60467654,-0.44791055,-0.75815564,-0.5889323,-0.42366987,-0.75078994,0.24504316,-0.34227353,-0.532054
8,2,911.7741595,0.0008462004,-0.46398938,-0.48118144,-0.9374272,-0.22354977,-0.26889157,-0.8286325,-0.6992509,-0.9241936,-0.46498767,-0.48213485,-0.9377689,-0.2241614,-0.26961502,-0.8291028,-0.6997372,-0.9246025,-0.021814376,-0.84039724,0.2677652,0.22300355,-0.59454995,-0.3484216,-0.808472,-0.83393174,0.2880308,0.24370605,-0.58034736,-0.32930237,-0.8008278,0.9019634,0.8934043,0.4950294,0.69694525,0.10176658,-0.048113246,-0.7409093,-0.5626158,-0.88165724,-0.7194557,-0.5295673,-0.87142175,0.31081888,-0.41488054,-0.64155835
9,1,670.6840155,0.015229082,-0.40406886,-0.42903268,-0.8929907,-0.2948042,-0.3172137,-0.7761836,-0.6620358,-0.8754236,-0.41778004,-0.44211158,-0.8980784,-0.30720675,-0.3293962,-0.78413725,-0.67140096,-0.8811225,-0.02939555,-0.7855392,0.122656226,0.10070485,-0.55627364,-0.35304394,-0.7512666,-0.77310467,0.15064007,0.12912919,-0.5350421,-0.32722595,-0.73734117,0.7948705,0.7929811,0.42656296,0.60313094,0.088510185,-0.023303822,-0.60974866,-0.44633418,-0.7652263,-0.6010231,-0.43107784,-0.7626015,0.2544676,-0.35284248,-0.5471645
