plot_id,rep,treatment,row_num,range_num,fert_source,fert_rate,treatment_label,var_num,variety,yield
12,1,2,0,12,KCL,200,KCL 200,2,clearwater,641.2188273
11,1,2,0,11,KCL,200,KCL 200,1,burbank,697.97988
9,1,8,0,9,B,200,B 200,1,burbank,709.8914786
8,1,6,0,8,K2SO4,200,K2SO4 200,2,clearwater,674.1916718
7,1,6,0,7,K2SO4,200,K2SO4 200,1,burbank,680.4306641
6,2,3,0,6,KCL,400,KCL 400,2,clearwater,965.1194023
4,2,3,0,4,KCL,400,KCL 400,1,burbank,908.7694714
3,2,2,0,3,KCL,200,KCL 200,2,clearwater,796.7081605
2,2,2,0,2,KCL,200,KCL 200,1,burbank,911.7741595
1,2,1,0,1,none,0,control,2,clearwater,670.6840155
25,1,4,1,12,KCL,600,KCL 600,2,clearwater,853.4823341
24,1,4,1,11,KCL,600,KCL 600,1,burbank,753.7656118
23,1,5,1,10,KCL,800,KCL 800,2,clearwater,807.4979214
22,1,5,1,9,KCL,800,KCL 800,1,burbank,554.56397
21,1,1,1,8,none,0,control,2,clearwater,589.6711491
20,1,1,1,7,none,0,control,1,burbank,588.7548723
17,2,7,1,4,K2SO4,400,K2SO4 400,1,burbank,832.1739777
15,2,6,1,2,K2SO4,200,K2SO4 200,1,burbank,802.5097891
13,2,4,1,0,KCL,600,KCL 600,1,burbank,617.3453332
38,1,3,2,12,KCL,400,KCL 400,2,clearwater,882.1646414
37,1,3,2,11,KCL,400,KCL 400,1,burbank,762.6506541
35,1,9,2,9,B,400,B 400,1,burbank,761.6709595
33,1,7,2,7,K2SO4,400,K2SO4 400,1,burbank,933.9135068
31,2,9,2,5,B,400,B 400,2,clearwater,916.9372373
30,2,9,2,4,B,400,B 400,1,burbank,967.9994418
29,2,8,2,3,B,200,B 200,2,clearwater,817.91811
28,2,8,2,2,B,200,B 200,1,burbank,1124.153568
26,2,5,2,0,KCL,800,KCL 800,1,burbank,818.5391664
51,4,6,3,12,K2SO4,200,K2SO4 200,2,clearwater,883.0896655
50,4,6,3,11,K2SO4,200,K2SO4 200,1,burbank,783.0055577
49,4,4,3,10,KCL,600,KCL 600,2,clearwater,931.7726118
48,4,4,3,9,KCL,600,KCL 600,1,burbank,719.4544345
47,4,3,3,8,KCL,400,KCL 400,2,clearwater,993.2834336
46,4,3,3,7,KCL,400,KCL 400,1,burbank,1004.88013
44,3,5,3,5,KCL,800,KCL 800,2,clearwater,1090.146358
43,3,5,3,4,KCL,800,KCL 800,1,burbank,981.6758027
41,3,1,3,2,none,0,control,1,burbank,738.4753791
40,3,4,3,1,KCL,600,KCL 600,2,clearwater,942.1599982
39,3,4,3,0,KCL,600,KCL 600,1,burbank,918.9163077
64,4,7,4,12,K2SO4,400,K2SO4 400,2,clearwater,932.3433714
62,4,1,4,10,none,0,control,2,clearwater,752.3726086
61,4,1,4,9,none,0,control,1,burbank,556.0160173
60,4,2,4,8,KCL,200,KCL 200,2,clearwater,846.7447473
59,4,2,4,7,KCL,200,KCL 200,1,burbank,949.9428841
56,3,3,4,4,KCL,400,KCL 400,1,burbank,942.6476586
55,3,9,4,3,B,400,B 400,2,clearwater,1012.490258
54,3,9,4,2,B,400,B 400,1,burbank,1009.465888
53,3,6,4,1,K2SO4,200,K2SO4 200,2,clearwater,820.0546314
52,3,6,4,0,K2SO4,200,K2SO4 200,1,burbank,879.8181855
77,4,9,5,12,B,400,B 400,2,clearwater,1035.27909
75,4,5,5,10,KCL,800,KCL 800,2,clearwater,979.9875791
74,4,5,5,9,KCL,800,KCL 800,1,burbank,785.0458591
73,4,8,5,8,B,200,B 200,2,clearwater,892.2502468
70,3,7,5,5,K2SO4,400,K2SO4 400,2,clearwater,900.1512209
69,3,7,5,4,K2SO4,400,K2SO4 400,1,burbank,858.42673
67,3,2,5,2,KCL,200,KCL 200,1,burbank,792.4941618
66,3,8,5,1,B,200,B 200,2,clearwater,920.0140905
65,3,8,5,0,B,200,B 200,1,burbank,848.6800814
