,plot_id,blue-blue_444,blue-green,blue-green_531,blue-red_650,blue-red,blue-red_edge_705,blue-red_edge,blue-red_edge_740,blue-nir,blue_444-green,blue_444-green_531,blue_444-red_650,blue_444-red,blue_444-red_edge_705,blue_444-red_edge,blue_444-red_edge_740,blue_444-nir,green-green_531,green-red_650,green-red,green-red_edge_705,green-red_edge,green-red_edge_740,green-nir,green_531-red_650,green_531-red,green_531-red_edge_705,green_531-red_edge,green_531-red_edge_740,green_531-nir,red_650-red,red_650-red_edge_705,red_650-red_edge,red_650-red_edge_740,red_650-nir,red-red_edge_705,red-red_edge,red-red_edge_740,red-nir,red_edge_705-red_edge,red_edge_705-red_edge_740,red_edge_705-nir,red_edge-red_edge_740,red_edge-nir,red_edge_740-nir
0,0,-0.010497073,-0.42758194,-0.39671305,-0.3224952,-0.30271396,-0.6599678,-0.775593,-0.8746688,-0.8907266,-0.41859245,-0.38730478,-0.31414878,-0.29442152,-0.65313977,-0.7700166,-0.87084794,-0.88712406,0.03681193,0.11935486,0.13866277,-0.32417044,-0.5293898,-0.7286737,-0.7614748,0.08365032,0.10335911,-0.35658243,-0.5559663,-0.7462969,-0.7773771,0.020592771,-0.4215277,-0.5932611,-0.7555715,-0.78358155,-0.43557236,-0.601666,-0.75872695,-0.7860097,-0.24957234,-0.53421986,-0.58485436,-0.33951536,-0.40499106,-0.07700345
1,1,-0.014990099,-0.4423358,-0.41815302,-0.32899547,-0.3066619,-0.6718099,-0.7845766,-0.8814465,-0.8984123,-0.42951262,-0.40456128,-0.3171186,-0.29446632,-0.66260874,-0.7767121,-0.8758146,-0.89336777,0.029275326,0.12978242,0.15156172,-0.32763764,-0.53565174,-0.7379343,-0.7736802,0.101433456,0.12368203,-0.35329467,-0.5568091,-0.7517551,-0.78605133,0.023585549,-0.43198684,-0.60193,-0.7633535,-0.7937321,-0.4474572,-0.61085594,-0.7660866,-0.7957279,-0.25489098,-0.547842,-0.6038817,-0.3533086,-0.42717597,-0.088764854
2,2,-0.0007467119,-0.4826791,-0.46548137,-0.2705016,-0.22509149,-0.7003397,-0.8294391,-0.92475,-0.9378818,-0.48170182,-0.46444628,-0.26980576,-0.22454874,-0.6999206,-0.82899714,-0.92432785,-0.9375306,0.021846289,0.24347666,0.28782496,-0.32980394,-0.580827,-0.80113494,-0.83418775,0.22272992,0.26749668,-0.3489049,-0.59498733,-0.8087768,-0.8406599,0.048085775,-0.52979815,-0.7196304,-0.8715424,-0.89351255,-0.5628361,-0.7410704,-0.88175446,-0.9020515,-0.3110296,-0.6418814,-0.6972755,-0.41525072,-0.49548963,-0.10200847
3,3,-0.012629618,-0.44706404,-0.42323422,-0.33813092,-0.30506998,-0.67131436,-0.779555,-0.87568027,-0.89347935,-0.4359226,-0.41185853,-0.32776582,-0.29481807,-0.6631517,-0.7725241,-0.87049586,-0.8888682,0.028599171,0.12733637,0.15997863,-0.32163173,-0.5238011,-0.725594,-0.7633959,0.09975554,0.13275887,-0.34694365,-0.5448702,-0.7399461,-0.7761637,0.035243116,-0.424457,-0.58971554,-0.75142056,-0.7834345,-0.44883183,-0.60556227,-0.7588359,-0.78957784,-0.24540867,-0.53261864,-0.5907579,-0.34266064,-0.41826954,-0.08998207
4,4,-0.0018578107,-0.48092985,-0.46546093,-0.2783831,-0.22754903,-0.69704163,-0.8253029,-0.9202609,-0.9339835,-0.4793542,-0.46380866,-0.27696034,-0.22608976,-0.695932,-0.8244547,-0.9196061,-0.9334478,0.01973269,0.23272592,0.2824374,-0.32563683,-0.57359177,-0.7912937,-0.82535714,0.21401452,0.26416698,-0.34308803,-0.5867451,-0.7986678,-0.83161277,0.054025024,-0.51779985,-0.7073566,-0.860248,-0.88364244,-0.5551568,-0.7318596,-0.87236756,-0.8938239,-0.30529195,-0.62831515,-0.68446046,-0.40212646,-0.48212126,-0.09998539
5,5,-0.013871659,-0.42346156,-0.39346194,-0.34042123,-0.3193466,-0.66214883,-0.7699115,-0.86777425,-0.8868874,-0.4111527,-0.38084865,-0.32899296,-0.30798206,-0.6533731,-0.7624465,-0.8622744,-0.88197565,0.035264928,0.095956355,0.11655109,-0.33290488,-0.527106,-0.72314155,-0.7613077,0.061844904,0.08281934,-0.3637284,-0.5526761,-0.7404113,-0.7766057,0.022137089,-0.4086184,-0.57194436,-0.7354518,-0.7697032,-0.42363617,-0.5812774,-0.7394103,-0.77289313,-0.23788261,-0.52030027,-0.57970816,-0.33569208,-0.41186056,-0.09024974
6,6,-0.014485544,-0.45532808,-0.43101794,-0.34190285,-0.31037238,-0.6801723,-0.7880492,-0.8824514,-0.8997043,-0.44272676,-0.41815656,-0.33016923,-0.2985921,-0.6711846,-0.7802543,-0.87678015,-0.8946924,0.029375909,0.13274083,0.1636195,-0.3272174,-0.5321183,-0.7345389,-0.7716294,0.10442361,0.13573307,-0.35334504,-0.55332243,-0.74867034,-0.784122,0.033516392,-0.43398184,-0.60003847,-0.76109153,-0.7926833,-0.4559545,-0.6138075,-0.7666208,-0.7971086,-0.24983466,-0.5413619,-0.59908015,-0.3493694,-0.42466542,-0.08994839
7,7,-0.0034724942,-0.47794726,-0.460223,-0.2714455,-0.22729626,-0.6942534,-0.8241411,-0.9208969,-0.93476516,-0.4751675,-0.45753482,-0.26858518,-0.22445412,-0.69252634,-0.822777,-0.92018557,-0.9341824,0.022362748,0.23632735,0.27954218,-0.32429478,-0.57292384,-0.79363114,-0.8279277,0.2149695,0.2587585,-0.34406272,-0.5876671,-0.8018227,-0.8348863,0.046892624,-0.51975644,-0.7095937,-0.86356795,-0.8869138,-0.5522698,-0.7309863,-0.87407565,-0.89571136,-0.30566233,-0.6327871,-0.68923503,-0.40784058,-0.48848134,-0.10156596
8,8,-0.013579218,-0.43977827,-0.41553247,-0.34442475,-0.31425968,-0.67577976,-0.77772564,-0.86831576,-0.88565993,-0.4275905,-0.40317526,-0.33350915,-0.30341646,-0.66712284,-0.7701794,-0.8624314,-0.8804117,0.028876493,0.11093233,0.1408023,-0.33673382,-0.527404,-0.71611655,-0.75145066,0.08312897,0.11340781,-0.36197126,-0.54868245,-0.7309657,-0.76484555,0.032224234,-0.42377353,-0.5799713,-0.7323155,-0.76371694,-0.44590947,-0.59461266,-0.73959863,-0.7699932,-0.23386486,-0.5055184,-0.5601475,-0.32144552,-0.3905168,-0.08039982
9,9,-0.008576031,-0.4630609,-0.44082522,-0.3001521,-0.2679695,-0.6915219,-0.81061846,-0.9055899,-0.9197654,-0.45576036,-0.43361804,-0.292833,-0.26064584,-0.68661696,-0.8068055,-0.9031116,-0.91758037,0.027319629,0.18700255,0.21841826,-0.33683902,-0.5624286,-0.770897,-0.8032718,0.16074261,0.19261654,-0.36070675,-0.58112174,-0.78220737,-0.8131615,0.033934202,-0.48914877,-0.66732943,-0.8231727,-0.84829324,-0.51216525,-0.6820779,-0.830053,-0.85413784,-0.27925062,-0.5885846,-0.64155513,-0.37656206,-0.4483578,-0.08729429
